
Instancia;Problema;Fator h;ResultadoFO;Benchmark;Tempo Computacional
4;5;0.8;57181;55277;0.0045472
4;6;0.2;156328;151938;0.0010726
4;6;0.4;87080;86724;0.0010809
4;6;0.6;62546;62519;0.0025248
4;6;0.8;67105;62519;0.0046537
4;7;0.2;141613;141613;0.0014502
4;7;0.4;79856;79854;0.0010251
4;7;0.6;62213;62213;0.0010002
4;7;0.8;68967;62213;0.0041504
4;8;0.2;169842;168086;0.0009416
4;8;0.4;95428;95361;0.0009011
4;8;0.6;84917;80844;0.0009287
4;8;0.8;84917;80844;0.005952
4;9;0.2;125161;125153;0.0019051
4;9;0.4;73550;73605;0.0015742
4;9;0.6;59528;58771;0.0031087
4;9;0.8;64275;58771;0.0063043
4;10;0.2;124445;124446;0.0012774
4;10;0.4;73486;72399;0.0009347
4;10;0.6;62312;61419;0.0049584
4;10;0.8;62312;61419;0.0049745
5;1;0.2;526899;526666;0.0038694
5;1;0.4;301860;301449;0.0031696
5;1;0.6;261911;254268;0.0032603
5;1;0.8;265681;254268;0.028613
5;2;0.2;566272;566643;0.0033965
5;2;0.4;335404;335714;0.003239
5;2;0.6;269446;266028;0.0082159
5;2;0.8;281989;266028;0.0382282
5;3;0.2;530145;529919;0.0038035
5;3;0.4;308280;308278;0.0053086
5;3;0.6;255769;254647;0.0776539
5;3;0.8;272172;254647;0.0323061
5;4;0.2;603600;603709;0.0038207
5;4;0.4;360852;360852;0.0046557
5;4;0.6;298064;297269;0.0096554
5;4;0.8;309430;297269;0.033663
5;5;0.2;547779;547953;0.0053191
5;5;0.4;322268;322268;0.0046076
5;5;0.6;270265;260455;0.0109845
5;5;0.8;270265;260455;0.034134
5;6;0.2;502276;502276;0.0034135
5;6;0.4;292981;292453;0.0032339
5;6;0.6;242308;236160;0.0045579
5;6;0.8;261255;236160;0.0296452
5;7;0.2;479492;479651;0.0038139
5;7;0.4;279637;279576;0.0035945
5;7;0.6;261942;247555;0.004152
5;7;0.8;269384;247555;0.0327089
5;8;0.2;530276;530896;0.0042945
5;8;0.4;289182;288746;0.0047298
5;8;0.6;228077;225572;0.0099066
5;8;0.8;249411;225572;0.0344476
5;9;0.2;585564;575353;0.0040194
5;9;0.4;331116;331107;0.0036933
5;9;0.6;256174;255029;0.0047369
5;9;0.8;280785;255029;0.0352762
5;10;0.2;572805;572866;0.0047832
5;10;0.4;332843;332808;0.0050474
5;10;0.6;269605;269236;0.0221099
5;10;0.8;313844;269236;0.0317513
6;1;0.2;3.12404e+06;3.11309e+06;0.0207201
6;1;0.4;1.84002e+06;1.8399e+06;0.0229191
6;1;0.6;1.64765e+06;1.58123e+06;0.0808472
6;1;0.8;1.69489e+06;1.58123e+06;0.407507
6;2;0.2;3.56894e+06;3.56906e+06;0.0205994
6;2;0.4;2.065e+06;2.065e+06;0.0232391
6;2;0.6;1.7643e+06;1.71533e+06;0.105223
6;2;0.8;1.85081e+06;1.71532e+06;0.403528
6;3;0.2;3.29928e+06;3.30074e+06;0.0217497
6;3;0.4;1.9093e+06;1.9093e+06;0.021065
6;3;0.6;1.72163e+06;1.64495e+06;0.0219795
6;3;0.8;1.76645e+06;1.64495e+06;0.433883
6;4;0.2;3.40884e+06;3.40887e+06;0.0203107
6;4;0.4;1.9309e+06;1.93083e+06;0.0192735
6;4;0.6;1.70152e+06;1.64094e+06;0.0180867
6;4;0.8;1.743e+06;1.64094e+06;0.400407
6;5;0.2;3.38446e+06;3.37755e+06;0.0194738
6;5;0.4;1.9036e+06;1.88122e+06;0.0186944
6;5;0.6;1.47768e+06;1.46832e+06;0.355986
6;5;0.8;1.57564e+06;1.46832e+06;0.380604
6;6;0.2;3.02403e+06;3.02408e+06;0.0230996
6;6;0.4;1.65896e+06;1.65841e+06;0.0191364
6;6;0.6;1.46407e+06;1.41334e+06;0.474977
6;6;0.8;1.46407e+06;1.41334e+06;0.548116
6;7;0.2;3.39362e+06;3.38117e+06;0.0267705
6;7;0.4;1.97118e+06;1.97118e+06;0.0238462
6;7;0.6;1.6912e+06;1.63491e+06;0.171643
6;7;0.8;1.72562e+06;1.63491e+06;0.44489
6;8;0.2;3.37664e+06;3.37668e+06;0.0226596
6;8;0.4;1.93238e+06;1.92419e+06;0.0215915
6;8;0.6;1.57631e+06;1.54209e+06;0.0207004
6;8;0.8;1.68568e+06;1.54209e+06;0.34889
6;9;0.2;3.61772e+06;3.61781e+06;0.021683
6;9;0.4;2.06566e+06;2.06565e+06;0.0213984
6;9;0.6;1.71971e+06;1.68406e+06;0.173082
6;9;0.8;1.74224e+06;1.68406e+06;0.386168
6;10;0.2;3.31532e+06;3.31502e+06;0.0204111
6;10;0.4;1.95091e+06;1.92858e+06;0.0191412
6;10;0.6;1.52954e+06;1.52052e+06;0.129471
6;10;0.8;1.64329e+06;1.52052e+06;0.365722
7;1;0.2;1.51896e+07;1.51904e+07;0.075485
7;1;0.4;8.61007e+06;8.57015e+06;0.0758771
7;1;0.6;6.42276e+06;6.41158e+06;0.0733885
7;1;0.8;7.06422e+06;6.41158e+06;2.33132
7;2;0.2;1.33567e+07;1.33567e+07;0.0754866
7;2;0.4;7.59196e+06;7.59204e+06;0.0730351
7;2;0.6;6.18686e+06;6.1126e+06;0.0723519
7;2;0.8;6.56434e+06;6.1126e+06;2.53396
7;3;0.2;1.29349e+07;1.29193e+07;0.0759671
7;3;0.4;7.31373e+06;7.31374e+06;0.0731205
7;3;0.6;6.13945e+06;5.98554e+06;1.0462
7;3;0.8;6.38734e+06;5.98554e+06;2.52404
7;4;0.2;1.27049e+07;1.27053e+07;0.0759838
7;4;0.4;7.30027e+06;7.30022e+06;0.0726338
7;4;0.6;6.29851e+06;6.09673e+06;0.737762
7;4;0.8;6.51376e+06;6.09673e+06;2.56391
7;5;0.2;1.3382e+07;1.32769e+07;0.0751184
7;5;0.4;7.73799e+06;7.73837e+06;0.0767529
7;5;0.6;6.55047e+06;6.34824e+06;1.88023
7;5;0.8;6.74442e+06;6.34824e+06;2.53819
7;6;0.2;1.22494e+07;1.22361e+07;0.0754009
7;6;0.4;7.14636e+06;7.14449e+06;0.073075
7;6;0.6;6.3389e+06;6.08214e+06;0.902162
7;6;0.8;6.39429e+06;6.08214e+06;2.66898
7;7;0.2;1.41634e+07;1.41608e+07;0.0757327
7;7;0.4;8.43341e+06;8.42602e+06;0.0742912
7;7;0.6;6.61646e+06;6.57588e+06;0.977809
7;7;0.8;7.44943e+06;6.57588e+06;2.21504
7;8;0.2;1.33086e+07;1.33147e+07;0.0769869
7;8;0.4;7.50842e+06;7.50851e+06;0.0747877
7;8;0.6;6.19885e+06;6.06966e+06;1.03266
7;8;0.8;6.6193e+06;6.06966e+06;2.42499
7;9;0.2;1.25303e+07;1.24338e+07;0.0769548
7;9;0.4;7.31526e+06;7.29927e+06;0.0752805
7;9;0.6;6.33063e+06;6.18842e+06;0.319388
7;9;0.8;6.59399e+06;6.18842e+06;2.54859
7;10;0.2;1.33952e+07;1.33952e+07;0.0763065
7;10;0.4;7.61766e+06;7.61766e+06;0.0741792
7;10;0.6;6.3053e+06;6.1473e+06;0.0760891
7;10;0.8;6.72209e+06;6.1473e+06;2.48306
